CaseID,MH1
33692,NA
61037,2010/8/1
62060,NA
62060,NA
42049,NA
33904,2010/6/1
33904,2007/8/1
33904,2013/2/1
60843,2004/1/1
33820,NA
33941,NA
33941,NA
33941,NA
33824,2005/9/1
33824,2014/1/1
33824,NA
33824,2012/10/1
55112,2006/2/1
54237,NA
60873,2003/12/1
47220,NA
52372,2008/6/1
52372,NA
61814,NA
61814,2011/3/1
34145,NA
34145,NA
34145,NA
34145,2016/12/1
34145,NA
34145,2015/12/1
31659,NA
47678,NA
61068,NA
61295,2013/7/1
61290,2009/8/1
54856,NA
54856,NA
62237,NA
47573,2002/7/1
47573,NA
47573,NA
47573,NA
62064,NA
53679,NA
53679,NA
34866,2015/9/1
34866,2010/11/1
34866,2009/12/1
53205,NA
61156,2002/7/1
33339,NA
32048,2014/1/1
32048,NA
48613,2010/7/1
48613,2008/9/1
48613,2008/9/1
61351,2016/6/1
61351,2002/10/1
48227,NA
48227,2006/5/1
33950,NA
